[       a,      b,      c,      d,      e,      f,      g,      h]
[       1,     65,     65,      0,      0,      0,      0,      0]
[       1,   6500,     65,      0,      0,      0,      0,      0]
[       1, 106500,     65,      0,      0,      0,      0,      0]
[       1, 106500, 106500,      0,      0,      0,      0,      0]
[       1, 106500, 123500,      0,      0,      0,      0,      0]
[       1, 106500, 123500,      0,      0,      1,      0,      0]
[       1, 106500, 123500,      2,      0,      1,      0,      0]
[       1, 106500, 123500,      2,      2,      1,      0,      0]
[       1, 106500, 123500,      2,      2,      1,      2,      0]
[       1, 106500, 123500,      2,      2,      1,      4,      0]
[       1, 106500, 123500,      2,      2,      1,-106496,      0]
[       1, 106500, 123500,      2,      3,      1,-106496,      0]
[       1, 106500, 123500,      2,      3,      1,      3,      0]
[       1, 106500, 123500,      2,      3,      1,-106497,      0]
[       1, 106500, 123500,      2,      3,      1,-106497,      0]
